學校級別,代碼,學校名稱,縣市別,鄉鎮市區,地址,電話,網址,體系別,"地區
屬性",X 坐標,Y 坐標,,經度,緯度
大專校院,0001,國立政治大學,臺北市,文山區,[116]臺北市文山區指南路二段64號,(02)29393091,http://www.nccu.edu.tw,[1]一般,,308198.893,2764507.781,,121.5765042,24.98741923
大專校院,0002,國立清華大學,新竹市,東區,[300]新竹市東區光復路二段101號,(03)5715131,http://www.nthu.edu.tw,[1]一般,,249682.93,2743226.51,,120.996864,24.79639764
大專校院,0003,國立臺灣大學,臺北市,大安區,[106]臺北市大安區羅斯福路四段1號,(02)33663366,http://www.ntu.edu.tw,[1]一般,,303864.837,2767764.512,,121.5337006,25.01698107
大專校院,0004,國立臺灣師範大學,臺北市,大安區,[106]臺北市大安區和平東路一段162號,(02)77491111,http://www.ntnu.edu.tw,[3]師範,,303242.056,2768811.499,,121.5275706,25.02645526
大專校院,0005,國立成功大學,臺南市,東區,[701]臺南市東區大學路1號,(06)2757575,http://www.ncku.edu.tw,[1]一般,,169989.31,2544089.71,,120.2195394,22.99633067
大專校院,0006,國立中興大學,臺中市,南區,[402]臺中市南區興大路145號,(04)22873181,http://www.nchu.edu.tw,[1]一般,,217065.387,2668709.273,,120.6759834,24.12323548
大專校院,0007,國立陽明交通大學,新竹市,東區,[300]新竹市東區大學路1001號,(03)5712121,http://www.nycu.edu.tw,[1]一般,,250002.363,2742446.555,,121.0000234,24.78935575
大專校院,0008,國立中央大學,桃園市,中壢區,[320]桃園市中壢區中大路300號,(03)4227151,http://www.ncu.edu.tw,[1]一般,,269731,2762280.01,,121.1954222,24.96829444
大專校院,0009,國立中山大學,高雄市,鼓山區,[804]高雄市鼓山區蓮海路70號,(07)5252000,http://www.nsysu.edu.tw,[1]一般,,174548.157,2503106.93,,120.2659911,22.62646064
大專校院,0012,國立臺灣海洋大學,基隆市,中正區,[202]基隆市中正區北寧路2號,(02)24622192,http://www.ntou.edu.tw,[1]一般,,327891.619,2782708.205,,121.7725935,25.15083962
大專校院,0013,國立中正大學,嘉義縣,民雄鄉,[621]嘉義縣民雄鄉三興村7鄰大學路一段168號,(05)2720411,http://www.ccu.edu.tw,[1]一般,,196360.06,2606673.31,,120.4745487,23.56252131
大專校院,0014,國立高雄師範大學,高雄市,苓雅區,[802]高雄市苓雅區和平一路116號,(07)7172930,http://www.nknu.edu.tw,[3]師範,,180090.267,2503094.885,,120.3199032,22.62658949
大專校院,0015,國立彰化師範大學,彰化縣,彰化市,[500]彰化縣彰化市進德路1號,(04)7232105,http://www.ncue.edu.tw,[3]師範,,205114.91,2664121.32,,120.5585569,24.08151535
大專校院,0017,國立臺北大學,新北市,三峽區,[237]新北市三峽區大學路151號,(02)86741111,http://new.ntpu.edu.tw/,[1]一般,,287683.549,2759752.251,,121.373159,24.94513371
大專校院,0018,國立嘉義大學,嘉義市,東區,[600]嘉義市東區鹿寮里學府路300號,(05)2717000,http://www.ncyu.edu.tw,[1]一般,,197237.589,2595732.829,,120.48353,23.46376
大專校院,0019,國立高雄大學,高雄市,楠梓區,[811]高雄市楠梓區高雄大學路700號,(07)5919000,http://www.nuk.edu.tw,[1]一般,,176334.536,2514994.767,,120.2828101,22.733891
大專校院,0020,國立東華大學,花蓮縣,壽豐鄉,[974]花蓮縣壽豐鄉志學村大學路二段1號,(03)8903000,http://www.ndhu.edu.tw,[1]一般,,305334.356,2643417.544,,121.5434228,23.89424601
大專校院,0021,國立暨南國際大學,南投縣,埔里鎮,[545]南投縣埔里鎮大學路1號,(049)2910960#2996,http://www.ncnu.edu.tw,[1]一般,,242958.65,2649619.44,,120.9308179,23.95119127
大專校院,0022,國立臺灣科技大學,臺北市,大安區,[106]臺北市大安區基隆路四段43號,(02)27333141,http://www.ntust.edu.tw,[2]技職,,304565.02,2767408.618,,121.5406238,25.01374301
大專校院,0023,國立雲林科技大學,雲林縣,斗六市,[640]雲林縣斗六市大學路三段123號,(05)5342601,http://www.yuntech.edu.tw,[2]技職,,202564.24,2621318.56,,120.5348557,23.69495723
