醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日
0934060027,海天醫療社團法人海天醫院,精神科醫院,(03)9308010,宜蘭縣壯圍鄉古亭路２３－９號,臺北業務組,3,"門診診療,住院診療,精神病患者居家照護,精神科日間住院治療",精神科,,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午看診、星期三下午休診、星期四下午休診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10002,20111201
1134010022,宜蘭仁愛醫療財團法人宜蘭仁愛醫院,綜合醫院,(03)9321888,宜蘭縣宜蘭市中山路２段２６０號,臺北業務組,3,"急診業務,門診診療,住院診療","家醫科,內科,外科,兒科,婦產科,骨科,急診醫學科,麻醉科,放射診斷科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,24小時提供急診服務,10002,19950923
0434010518,國立陽明交通大學附設醫院,綜合醫院,(03)9325192,宜蘭縣宜蘭市校舍路１６９號、新民路１５２號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,口腔顎面外科,特殊需求者口腔醫學科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,10002,20080101
1134070019,宜蘭員山醫療財團法人宜蘭員山醫院,慢性醫院,(03)9220292,宜蘭縣員山鄉深溝村尚深路９１號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,血液透析,精神病患者居家照護","內科,精神科,復健科,中醫一般科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10002,19970613
0634070018,臺北榮民總醫院員山分院,綜合醫院,(03)9222141,宜蘭縣員山鄉榮光路３８６號、宜蘭縣宜蘭市林森路１號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,結核病","家醫科,內科,外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,神經科,精神科,復健科,牙科,中醫一般科,麻醉科,放射診斷科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,10002,19950301
1134050026,天主教靈醫會醫療財團法人礁溪杏和醫院,醫院,(03)9886996,宜蘭縣礁溪鄉礁溪路４段１２９號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,急診業務,門診診療,住院診療,血液透析,腹膜透析業務","家醫科,內科,外科,骨科,眼科,復健科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,10002,20200801
1134020028,天主教靈醫會醫療財團法人羅東聖母醫院,綜合醫院,(03)9544106,宜蘭縣羅東鎮中正南路１６０號、宜蘭縣南澳鄉大通路１１２之１號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,急診24小時全年無休,10002,20181101
1134020019,醫療財團法人羅許基金會羅東博愛醫院,綜合醫院,(03)9543131,宜蘭縣羅東鎮南昌街８１、８３號及站前南路６１、６３號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,齒顎矯正科,口腔顎面外科,家庭牙醫科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,本院門診休診時間，急診24小時提供服務,10002,20160301
0634030014,臺北榮民總醫院蘇澳分院,綜合醫院,(03)9905106,宜蘭縣蘇澳鎮蘇濱路１段３０１號、中山路１段４３９號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,精神病患者居家照護,精神科日間住院治療,結核病","家醫科,內科,骨科,眼科,神經科,精神科,復健科,急診醫學科,麻醉科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,10002,19950301
0145030020,衛生福利部玉里醫院,精神科醫院,(03)8886141,花蓮縣玉里鎮中華路４４８號,東區業務組,3,"安寧居家療護(乙類),復健－物理治療業務,復健－職能治療業務,急診業務,門診診療,住院診療,精神病患者居家照護,精神科日間住院治療","家醫科,內科,耳鼻喉科,神經科,精神科,牙科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午休診、星期二下午看診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,提供精神科急診服務。,10015,19950301
