"公司統一編號","公司名稱","分公司統一編號","分公司名稱","分公司地址","分公司狀態","分公司核准設立日期","分公司最後核准變更日期"
"12411160","和德昌股份有限公司","00024288","台中松竹分公司","臺中市北屯區松竹路三段250號","01","1131004","       "
"12411160","和德昌股份有限公司","00033575","新莊思源分公司","新北市新莊區思源路330號","01","1131004","       "
"12411160","和德昌股份有限公司","00050341","南港車站分公司","臺北市南港區忠孝東路七段359號1樓","01","1131120","       "
"12411160","和德昌股份有限公司","00158238","大里成功分公司","臺中市大里區成功路392號","01","1131004","       "
"12411160","和德昌股份有限公司","00175784","台南安吉分公司","臺南市安南區安吉路一段409號","01","1131223","       "
"12411160","和德昌股份有限公司","00249759","板橋中正二分公司","新北市板橋區中正路290號、292號","01","1131004","       "
"12411160","和德昌股份有限公司","16080893","台北麟光Ⅰ分公司","臺北市大安區和平東路3段406巷8號2樓、2樓之1至2樓之5及2樓之19至2樓之27號","01","0860425","1090720"
"12411160","和德昌股份有限公司","16080900","板橋中山分公司","新北市板橋區中山路2段257號1、2樓及259號1樓","01","0860425","1090720"
"12411160","和德昌股份有限公司","16080916","三重五華分公司","新北市三重區五華街89之1號1樓","01","0860425","1090720"
"12411160","和德昌股份有限公司","16080922","屏東潮州分公司","屏東縣潮州鎮新生路58號1、2、3樓","03","0860425","1020730"
"12411160","和德昌股份有限公司","16081366","彰化中正分公司","彰化縣彰化市中正路1段566號1、2、3、4樓","01","0860506","1090720"
"12411160","和德昌股份有限公司","16081669","新竹大潤發分公司","新竹市湳雅街91號1樓","01","0860508","1090720"
"12411160","和德昌股份有限公司","16082230","中和興南分公司","新北市中和區興南路1段83號1樓、2樓","01","0860515","1090720"
"12411160","和德昌股份有限公司","16082246","高雄沿海分公司","高雄市小港區沿海一路57號1樓及地下1樓","01","0860515","1090720"
"12411160","和德昌股份有限公司","16082251","高雄建國Ⅱ分公司","高雄市苓雅區建國一路306號1、2、3樓","03","0860515","1020730"
"12411160","和德昌股份有限公司","16082745","北投中和分公司","臺北市北投區中和街３２８號１樓","03","0860522","0911225"
"12411160","和德昌股份有限公司","16082750","新店安康分公司","新北市新店區安康路2段128號地下1樓及安德街1號1樓、3號1樓","01","0860522","1090720"
"12411160","和德昌股份有限公司","16082766","台北承德分公司","臺北市大同區承德路1段34、36號１樓及32號2樓之1","01","0860522","1090720"
