車站編號,車站中文,車站英文,緯度,經度,地址,網址,資料更新時間
103a,北屯總站,Beitun Main Station,24.189132,120.708640,臺中市北屯區敦富東街100號,https://www.tmrt.com.tw/metro-life/station-information?id=0afa3027-e0cd-43a2-902b-c3081efd3b27,20230726
103,舊社,Jiushe,24.182289,120.707294,臺中市北屯區松竹路一段1250號,https://www.tmrt.com.tw/metro-life/station-information?id=9396045b-31bb-4135-96ad-0b5040bd4aeb,20230726
104,松竹,Songzhu,24.180807,120.701450,臺中市北屯區北屯路458號,https://www.tmrt.com.tw/metro-life/station-information?id=8cbc2661-c30e-417e-bfe5-69c7fd559f77,20230726
105,四維國小,Sihwei Elementary School,24.171243,120.693295,臺中市北屯區文心路四段 898號,https://www.tmrt.com.tw/metro-life/station-information?id=95ea9819-79c6-4069-bee9-80e09f9ceb75,20230726
106,文心崇德,Wenxin Chongde,24.172194,120.684869,臺中市北屯區文心路四段 538 號,https://www.tmrt.com.tw/metro-life/station-information?id=080ccba5-84e9-4b23-9800-84a68fa614f7,20230726
107,文心中清,Wenxin Zhongqing,24.173682,120.670599,臺中市北區文心路三段700號,https://www.tmrt.com.tw/metro-life/station-information?id=f911489b-497e-45ef-bafa-2876083b8458,20230726
108,文華高中,Wenhua Senior High School,24.171416,120.660455,臺中市西屯區文心路三段199號,https://www.tmrt.com.tw/metro-life/station-information?id=4f85d84b-06d9-40de-a2d3-c9c54f58119a,20230726
109,文心櫻花,Wenxin Yinghua,24.167636,120.653674,臺中市西屯區文心路三段107之28號,https://www.tmrt.com.tw/metro-life/station-information?id=17e62fc0-7e3f-42a8-80ce-c597136e6f99,20230726
110,市政府,Taichung City Hall,24.161990,120.649035,臺中市西屯區文心路二段688號、699號,https://www.tmrt.com.tw/metro-life/station-information?id=82361949-b015-4435-aab6-75166d4b5681,20230726
111,水安宮,Shui-an Temple,24.153113,120.646687,臺中市南屯區文心路一段519號,https://www.tmrt.com.tw/metro-life/station-information?id=6f55e961-4add-4b24-82ba-d477d47c771a,20230726
112,文心森林公園,Wenxin Forest Park,24.145400,120.646600,臺中市南屯區文心路一段259號,https://www.tmrt.com.tw/metro-life/station-information?id=52c7f0f6-47b2-4341-bcb8-6485aeab0279,20230726
113,南屯,Nantun,24.140500,120.646600,臺中市南屯區五權西路二段328號,https://www.tmrt.com.tw/metro-life/station-information?id=04daa9f4-d7d2-4099-8b90-a9f77ca7c201,20230726
114,豐樂公園,Feng-le Park,24.132606,120.646350,臺中市南屯區文心南路168號,https://www.tmrt.com.tw/metro-life/station-information?id=c089d378-8398-4d04-9efa-3aeaa73ed5f2,20230726
115,大慶,Daqing,24.119100,120.647600,臺中市南區建國北路一段11號,https://www.tmrt.com.tw/metro-life/station-information?id=a4c466b9-9cca-4b27-8be1-5734134aa4c8,20230726
116,九張犁,Jiuzhangli,24.114500,120.640100,臺中市烏日區建國路915號,https://www.tmrt.com.tw/metro-life/station-information?id=0f61a447-86c5-4bdd-9282-aab066e1acfc,20230726
117,九德,Jiude,24.111049,120.634481,臺中市烏日區建國路639號,https://www.tmrt.com.tw/metro-life/station-information?id=34b7d9a2-228f-4c84-a969-72a7cfda0a82,20230726
118,烏日,Wuri,24.108900,120.624900,臺中市烏日區建國路295號,https://www.tmrt.com.tw/metro-life/station-information?id=d2da6396-1db1-484e-8c4e-9eae063dcf88,20230726
119,高鐵臺中站,HSR Taichung Station,24.110119,120.614053,臺中市烏日區高鐵東一路28號,https://www.tmrt.com.tw/metro-life/station-information?id=6b0c61b9-4b22-4332-8483-db4a0828cedc,20230726
