站點唯一 ID,站點 ID,站名,站點地址,經度,緯度
THB100009,100009,吉悌公司,新竹市香山區牛埔南路189號對面,120.932559969404,24.7942899957813
THB100011,100011,浸水庄,新竹市香山區牛埔路348號對面,120.9448,24.79875
THB100013,100013,埔羌園,新竹市香山區牛埔路117號,120.952639969076,24.7995099958411
THB100014,100014,警光新村,新竹市北區中山路452巷口,120.95778,24.80009
THB100015,100015,上帝公廟,新竹市北區中山路291號,120.96022,24.80131
THB100016,100016,棒球場,新竹市北區北大路323號,120.9621635,24.8060387
THB100017,100017,北門派出所,新竹市北區北大路233號,120.96467,24.80757
THB100397,100397,臺中教育大學,臺中市西區民權路222號對面,120.67198,24.14472
THB100472,100472,前溪,新竹市東區中華路一段239號對面,120.99025,24.81341
THB100475,100475,國賓大飯店,新竹市東區中華路二段190號,120.97763,24.8059
THB100480,100480,重興,新竹縣新豐鄉建興路二段650號對面,120.987077604739,24.8970377159672
THB100481,100481,大埔,新竹縣新豐鄉建興路二段527號對面,120.98737,24.89315
THB100482,100482,永興,新竹縣新豐鄉建興路新庄高幹84電桿,120.98772,24.89086
THB100483,100483,象鼻,新竹縣新豐鄉建興路二段360號,120.98764,24.88849
THB100484,100484,新豐華城,新竹縣新豐鄉建興路新豐華城對面,120.98988,24.88581
THB100485,100485,關聖宮,新竹縣新豐鄉建興路榮華社區叉路口,120.9939,24.88339
THB100486,100486,光星廠,新竹縣新豐鄉建興路196-5號,120.99384996869,24.8775899957105
THB100488,100488,山崎國小,新竹縣新豐鄉新興路291號,120.9985901,24.871679
THB100511,100511,國賓大飯店,新竹市東區中華路二段199號,120.978646,24.806285
THB100518,100518,水利大樓,新竹縣竹北市中華路340-15號,121.00476,24.83455
THB100519,100519,玫瑰新村,新竹縣竹北市中華路682號,121.00536,24.84733
THB100530,100530,花王公司,新竹縣湖口鄉中華路6號對面,121.00448,24.86462
THB100537,100537,郵局前,新竹縣湖口鄉勝利路二段96號,121.026049803047,24.8627897034077
THB100538,100538,運動場,新竹縣湖口鄉勝利路二段47號對面,121.0284,24.8644
THB100548,100548,富國新村,新竹縣湖口鄉中正路二段125號,121.05392,24.88484
THB100553,100553,湖北橋,新竹縣湖口鄉中正路一段255號,121.04763,24.89861
THB100556,100556,郵局前,新竹縣橫山鄉新興街176號,121.14013,24.71799
THB100557,100557,大肚國小,新竹縣橫山鄉中豐路二段227號,121.13847,24.71966
THB100558,100558,大肚,新竹縣橫山鄉中豐路二段107號,121.13549,24.72244
THB100559,100559,大肚社區,新竹縣橫山鄉中豐路二段132號對面,121.131851,24.725178
THB100560,100560,台電公司,新竹縣橫山鄉大肚69號對面,121.127,24.72926
THB100561,100561,農路口,新竹縣芎林鄉橫龍高幹23電桿對面,121.12309,24.73146
THB100562,100562,石吼口,新竹縣芎林鄉五龍村10鄰路口,121.12177,24.73317
THB100563,100563,秀湖,新竹縣芎林鄉五和街 17、19號間,121.1168719,24.73389016
THB100565,100565,王爺宮,新竹縣芎林鄉芎林高幹26電桿,121.11243,24.73773
THB100566,100566,永秀橋,新竹縣芎林鄉芎林高幹32電桿對面,121.11116,24.73941
THB100567,100567,十股林,新竹縣芎林鄉芎林高幹47電桿,121.1068,24.74291
THB100568,100568,永興口,新竹縣芎林鄉福昌街74號,121.10356,24.7458
THB100569,100569,石潭,新竹縣芎林鄉福昌街204號,121.101,24.74745
THB100570,100570,福昌宮,新竹縣芎林鄉福昌街285號對面,121.09927,24.74883
THB100571,100571,下碧溪,新竹縣芎林鄉福昌街484號,121.09727,24.75262
THB100572,100572,碧溪,新竹縣芎林鄉福昌街588號,121.09604,24.7544
THB100573,100573,拱橋,新竹縣芎林鄉石潭村福昌街711號對面,121.094638737008,24.756615296143
THB100574,100574,上新鳳,新竹縣芎林鄉富林路二段472號,121.09135,24.76046
THB100576,100576,新鳳,新竹縣芎林鄉文衡路122號,121.0884,24.76608
THB100577,100577,五股林,新竹縣芎林鄉文衡路338號,121.0854,24.77037
THB100578,100578,文昌廟,新竹縣芎林鄉文衡路454號,121.08317,24.7727
THB100579,100579,文山街,新竹縣芎林鄉文山路376號,121.08051,24.77522
THB100580,100580,農倉前,新竹縣芎林鄉文山路624號,121.076349966837,24.7794699964065
THB100581,100581,柵門口,新竹縣芎林鄉文山路720號,121.07581,24.78191
THB100582,100582,上山,新竹縣芎林鄉文山路808號,121.074439966889,24.7839499963821
THB100583,100583,集會所,新竹縣芎林鄉文山路878號,121.07214,24.78533
THB100584,100584,縣農會,新竹縣芎林鄉文山路962號,121.06965,24.78722
THB100585,100585,田洋,新竹縣芎林鄉文山路1062號,121.068079967021,24.7888399963386
THB100586,100586,下田洋,新竹縣芎林鄉文山路1138號,121.0662223,24.79007913
THB100587,100587,下山,新竹縣芎林鄉文山路1242號,121.06344996711,24.7909699963122
THB100588,100588,華聯廠前,新竹縣芎林鄉文山路1342號,121.061329967149,24.7913399963024
THB100589,100589,砂石廠,新竹縣竹北市東興路二段台塑加油站對面,121.05896,24.79251
THB100590,100590,三崁店,新竹縣竹北市東興路二段415號,121.05678,24.79479
THB100591,100591,東光,新竹縣竹北市東興路二段東海高幹87號電桿,121.05489,24.79752
THB100592,100592,東平,新竹縣竹北市東興路二段123號,121.052417,24.80066954
THB100593,100593,東海國小,新竹縣竹北市東興路一段839號,121.049575751529,24.8053903211499
THB100594,100594,東興,新竹縣竹北市東興路717號,121.04783,24.80798
THB100595,100595,下東興,新竹縣竹北市東興路625號,121.04552,24.80966
THB100596,100596,上十興,新竹縣竹北市東興路東海高桿29電桿對面,121.04092,24.81272
THB100597,100597,十興,新竹縣竹北市東興路一段229號,121.0353754,24.81501239
THB100598,100598,代辦所,新竹縣竹北市嘉興路221號,121.0282332,24.81769938
THB100599,100599,上鹿場,新竹縣竹北市福興東路一段301號,121.02365,24.81809
THB100600,100600,鹿場,新竹縣竹北市福興東路一段144號對面,121.02251,24.81869
THB100601,100601,縣體育場,新竹縣竹北市福興東路一段(成功國中圍牆路邊),121.018227,24.81945777
THB100602,100602,上泉州厝,新竹縣竹北市福興東路547號,121.016889968045,24.8201299960182
THB100603,100603,泉州厝,新竹縣竹北市福興東路440號,121.013929968101,24.821319996002
THB100604,100604,縣府入口,新竹縣竹北市福興路636號,121.0101408,24.82304133
THB100605,100605,祖師廟,新竹縣竹北市福興路806號,121.006589968248,24.8256199959568
THB100606,100606,台新罐頭廠,新竹縣竹北市福興路960號,121.00279,24.82708
THB100610,100610,新竹高工,新竹市東區中華路二段2號,120.982685,24.809111
THB100613,100613,合作金庫,新竹市東區東門街60號,120.9726192,24.80429956
THB100632,100632,建龍新村,桃園市龍潭區中豐路743號,121.212547204077,24.8898027223851
THB100638,100638,東龍中豐路口,桃園市龍潭區東龍路378號對面,121.213778,24.868406
THB100640,100640,龍潭大池,桃園市龍潭區中豐路龍西幹18電桿,121.20718,24.86235
THB100641,100641,凌雲國中,桃園市龍潭區中豐路上林段355號對面,121.2028575,24.85913269
THB100642,100642,南四方林,桃園市龍潭區中豐路上林段586號對面,121.20286,24.85564
THB100643,100643,天下社區,桃園市龍潭區中豐路上林段1168號對面,121.211,24.84388
THB100645,100645,高楊路口,桃園市龍潭區中豐路高平段185號,121.20846,24.83754
THB100646,100646,新生醫專,桃園市龍潭區中豐路高平段427號,121.2062,24.83233
THB100647,100647,高平,桃園市龍潭區中豐路牛欄分線16支電桿,121.20163,24.82379
